Year|Reviewer Name|Paper ID|Research Object|Explanation for Research Object|Evaluation Method|Explanation for Evaluation Method|Guideline of Evaluation type|Property|Property Instance|Explanation for Property Instance|Metric|Explanation for Metric|Research Question / Evaluation question|Tool Prototype|Input Data|Artifact Evaluation Package available for replication?|Threats To Validity (Raw)|Threat to Validity Guidelines|Manual Comments|paperType|Threats To Validity|Industry Paper
2016|Thomas Kühn, Sophie Schulz, Marco Konersmann|Mesli-Kesraoui2016|Architecture Analysis Method||Interview||none referenced|none|none||||none|used|used|no|construct validity, internal validity, external validity, and reliability|runeson2009||full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2020|Jan Keim, Katharina Großer, Marco Konersmann|Moghaddam2020|Architecture Optimization Method||Case Study||none referenced|property-in-relation|Performance||Response Time|||used|used|no|none|none referenced||full|none|yes
2019|Ralf Reussner,Marco Ehl, Marco Konersmann|Musil2019|Architecture Analysis Method|To support software architects, we contribute an architecture viewpoint for continuous adaptation management in CIS, aligned with ISO/IEC/IEEE 42010.|Case Study|We evaluated the viewpoint in a Case Study with a group of eight experienced engineers.|Runeson2012|property-in-relation|Applicability|To obtain qualitative evidence of the usefulness and applicability of the CISADAPT viewpoint, we performed an in-depth study with eight engineers without any experience in CIS design and development.|none|(1) To what extent does the viewpoint support correct handling of CISspecific adaptation problems?|(1) To what extent does the viewpoint support correct handling of CISspecific adaptation problems?|none|available|Yes|Internal Validity, External Validity|none referenced||full|Internal Validity, External Validity|no
2019|Ralf Reussner,Marco Ehl, Marco Konersmann|Musil2019|Architecture Analysis Method|To support software architects, we contribute an architecture viewpoint for continuous adaptation management in CIS, aligned with ISO/IEC/IEEE 42010.|Case Study|We evaluated the viewpoint in a Case Study with a group of eight experienced engineers.|Runeson2012|property-in-relation|Usefulness|To obtain qualitative evidence of the usefulness and applicability of the CISADAPT viewpoint, we performed an in-depth study with eight engineers without any experience in CIS design and development.|none|(2) How useful are the model kinds with regard to managing CIS-specific adaptation?|(2) How useful are the model kinds with regard to managing CIS-specific adaptation?|none|available|Yes|Internal Validity, External Validity|none referenced||full|Internal Validity, External Validity|no
2017|Sebastian Hahner, Jan-Philipp Töberg|Nguyen2017|Architecture Analysis Method|"\""improve the way that designers check and analyze the Performance of their system designs\""|Motivating Example|Provide a proof-of-concept which I would rate to be less than a real Case Study|none referenced|property-in-relation|Feasibility|Use the proof of concept to show functionality. Should be discussed|response time|As statet by the authors|-|used|none|no|no explicit section|none referenced||full|none|no
2019|Robert Heinrich, Katharina Großer|Ntentos2019|Architecture pattern|In this paper we report on a qualitative, in-depth study of 35 practitioner descriptions of best practices and patterns on microservice data management architectures.|Grounded Theory|Authors state Grounded Theory as research methodology (with 10.1145/2739011.2739020, glaser1967strategies as reference), yet, the evaluation is more as Case Study, as they compare to one pattern catalogue used in practice|none referenced|property-in-relation|Completeness|Stated by the authors|Number of Elements|count of model elements|What are the patterns and practices currently used by practitioners for supporting data management in a microservice architecture?|none|available|no|internal validity, missing information, researcher bias, exclusion of sources, external validity, generalizability|none referenced|Input data: most of the 35 links which go to the Internet Archive have a defect (http:/ instead of http://) easy to fix in url, but does not work out of the box (after fix all 35 links work)|full|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Generalizability|yes
2019|Robert Heinrich, Katharina Großer|Ntentos2019|Architecture pattern|In this paper we report on a qualitative, in-depth study of 35 practitioner descriptions of best practices and patterns on microservice data management architectures.|Grounded Theory|Authors state Grounded Theory as research methodology (with 10.1145/2739011.2739020, glaser1967strategies as reference), yet, the evaluation is more as Case Study, as they compare to one pattern catalogue used in practice|none referenced|property-in-relation|Completeness|Stated by the authors|Number of Elements|count of model relations|How are the current microservice data management patterns and practices related? In particular, which architectural design decisions (ADDs) are relevant when architecting microservice data management?|none|available|no|internal validity, missing information, researcher bias, exclusion of sources, external validity, generalizability|none referenced|Input data: most of the 35 links which go to the Internet Archive have a defect (http:/ instead of http://) easy to fix in url, but does not work out of the box (after fix all 35 links work)|full|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Generalizability|yes
2019|Robert Heinrich, Katharina Großer|Ntentos2019|Architecture pattern|In this paper we report on a qualitative, in-depth study of 35 practitioner descriptions of best practices and patterns on microservice data management architectures.|Grounded Theory|Authors state Grounded Theory as research methodology (with 10.1145/2739011.2739020, glaser1967strategies as reference), yet, the evaluation is more as Case Study, as they compare to one pattern catalogue used in practice|none referenced|property-in-relation|Completeness|Stated by the authors|Number of Elements|count of model elements|What are the influencing factors (i.e., decision drivers) in architecting microservice data management in the eye of the practitioner today?|none|available|no|internal validity, missing information, researcher bias, exclusion of sources, external validity, generalizability|none referenced|Input data: most of the 35 links which go to the Internet Archive have a defect (http:/ instead of http://) easy to fix in url, but does not work out of the box (after fix all 35 links work)|full|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Generalizability|yes
2019|Robert Heinrich, Katharina Großer|Ntentos2019|Architecture pattern|In this paper we report on a qualitative, in-depth study of 35 practitioner descriptions of best practices and patterns on microservice data management architectures.|Grounded Theory|Authors state Grounded Theory as research methodology (with 10.1145/2739011.2739020, glaser1967strategies as reference), yet, the evaluation is more as Case Study, as they compare to one pattern catalogue used in practice|none referenced|property-in-relation|Accuracy|level of detail (compared to other pattern catalogue)  Stated by the authors|Number of Elements|count of model elements|What are the patterns and practices currently used by practitioners for supporting data management in a microservice architecture?|none|available|no|internal validity, missing information, researcher bias, exclusion of sources, external validity, generalizability|none referenced|Input data: most of the 35 links which go to the Internet Archive have a defect (http:/ instead of http://) easy to fix in url, but does not work out of the box (after fix all 35 links work)|full|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Generalizability|yes
2019|Robert Heinrich, Katharina Großer|Ntentos2019|Architecture pattern|In this paper we report on a qualitative, in-depth study of 35 practitioner descriptions of best practices and patterns on microservice data management architectures.|Grounded Theory|Authors state Grounded Theory as research methodology (with 10.1145/2739011.2739020, glaser1967strategies as reference), yet, the evaluation is more as Case Study, as they compare to one pattern catalogue used in practice|none referenced|property-in-relation|Accuracy|level of detail (compared to other pattern catalogue)  Stated by the authors|Number of Elements|count of model relations|How are the current microservice data management patterns and practices related? In particular, which architectural design decisions (ADDs) are relevant when architecting microservice data management?|none|available|no|internal validity, missing information, researcher bias, exclusion of sources, external validity, generalizability|none referenced|Input data: most of the 35 links which go to the Internet Archive have a defect (http:/ instead of http://) easy to fix in url, but does not work out of the box (after fix all 35 links work)|full|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Generalizability|yes
2019|Robert Heinrich, Katharina Großer|Ntentos2019|Architecture pattern|In this paper we report on a qualitative, in-depth study of 35 practitioner descriptions of best practices and patterns on microservice data management architectures.|Grounded Theory|Authors state Grounded Theory as research methodology (with 10.1145/2739011.2739020, glaser1967strategies as reference), yet, the evaluation is more as Case Study, as they compare to one pattern catalogue used in practice|none referenced|property-in-relation|Accuracy|level of detail (compared to other pattern catalogue)  Stated by the authors|Number of Elements|count of model elements|What are the influencing factors (i.e., decision drivers) in architecting microservice data management in the eye of the practitioner today?|none|available|no|internal validity, missing information, researcher bias, exclusion of sources, external validity, generalizability|none referenced|Input data: most of the 35 links which go to the Internet Archive have a defect (http:/ instead of http://) easy to fix in url, but does not work out of the box (after fix all 35 links work)|full|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Generalizability|yes
2020|Thomas Kühn, Mahmood Al-Doori|Ntentos2020|Architecture Analysis Method||Grounded Theory||corbin1990grounded|property-as-such|Accuracy||Ordinal Regression Analysis||How well do measures for assessing coupling-related decision options and their associated tenets perform?|available|available|yes|internal validity, external validity, selection bias, evaluator bias, measurement bias|none referenced||full|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Measurement Bias|yes
2020|Thomas Kühn, Mahmood Al-Doori|Ntentos2020|Architecture Analysis Method||Mining Software Repositories||garousi2019guidelines |property-as-such|Modularization||Coupling|Inter-Service Coupling Through Databases|How can we automatically assess conformance to loose coupling-related patterns and practices in the context of microservice architecture decision options?|available|available|yes|internal validity, external validity, selection bias, evaluator bias, measurement bias|none referenced||full|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Measurement Bias|yes
2020|Thomas Kühn, Mahmood Al-Doori|Ntentos2020|Architecture Analysis Method||Mining Software Repositories||garousi2019guidelines |property-as-such|Modularization||Coupling|Inter-Service Coupling Through Synchronous Invocations|How can we automatically assess conformance to loose coupling-related patterns and practices in the context of microservice architecture decision options?|available|available|yes|internal validity, external validity, selection bias, evaluator bias, measurement bias|none referenced||full|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Measurement Bias|yes
2020|Thomas Kühn, Mahmood Al-Doori|Ntentos2020|Architecture Analysis Method||Mining Software Repositories||garousi2019guidelines |property-as-such|Modularization||Coupling|Inter-Service Coupling Through Shared Services|How can we automatically assess conformance to loose coupling-related patterns and practices in the context of microservice architecture decision options?|available|available|yes|internal validity, external validity, selection bias, evaluator bias, measurement bias|none referenced||full|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Measurement Bias|yes
2020|Thomas Kühn, Mahmood Al-Doori|Ntentos2020|Architecture Analysis Method||Argumentation||none referenced|property-as-such|Complexity||Number of component types abnd connector types||What is a set of minimal elements needed in a microservice architecture model to compute such measures?|available|available|yes|internal validity, external validity, selection bias, evaluator bias, measurement bias|none referenced||full|Internal Validity, External Validity, Selection Bias, Evaluator Bias, Measurement Bias|yes
2019|Angelika Kaplan, Mahmood al-Doori, Marco Konersmann|Nunes2019|Architectural Aspects||Case Study|as stated by the authors|none referenced|property-as-such|Accuracy|as stated by the authors|Number of Singleton Clusters, Maximum Cluster Size, Silhouette Score|as stated by the authors|none|available|available|yes|none|none referenced||full|none|no
2016|Sebastian Hahner, Jan-Philipp Töberg, Marco Konersmann|Oquendo2016|Architecture Description Language|Compares describing system-of-systems with single system perspective. They describe challenges for architecture research regarding Systems of Systems (SoS). They evaluate the use of a specific ADL for SoS, that adresses these challenges.|Field Experiment|Authors state "field study" and say that they do Experimentation.|none referenced|property-as-such|Feasibility|Fitness for purpose||||none|none|no|none|none referenced||full|none|no
2016|Sebastian Hahner, Jan-Philipp Töberg, Marco Konersmann|Oquendo2016|Architecture Description Language|Compares describing system-of-systems with single system perspective. They describe challenges for architecture research regarding Systems of Systems (SoS). They evaluate the use of a specific ADL for SoS, that adresses these challenges.|Field Experiment|Authors state "field study" and say that they do Experimentation.|none referenced|property-as-such|Usefulness|||||none|none|no|none|none referenced||full|none|no
2018|Jan-Philipp Töberg, Thomas Kühn|Oquendo2018|Architecture Description Language|The authors describe how SosADL, a formal SoS Architecture Description Language, was enhanced to support the architectural description of self-organizing SoSs|Field Experiment|Field Study stated by the authors|none referenced|property-in-relation|Usefulness|derived from research question|||Assess the fitness for purpose and the usefulness of [...] SosADL [...] and […] the SosADL Studio […].|used|none|no|no explicit section|none referenced|research question based on interpretation, Evaluation is in a different Paper|full|none|no
2018|Jan-Philipp Töberg, Thomas Kühn|Oquendo2018|Architecture Description Language|The authors describe how SosADL, a formal SoS Architecture Description Language, was enhanced to support the architectural description of self-organizing SoSs|Field Experiment|Field Study stated by the authors|none referenced|property-in-relation|Applicability|derived from research question|||Assess the fitness for purpose and the usefulness of [...] SosADL [...] and […] the SosADL Studio […].|used|none|no|no explicit section|none referenced|research question based on interpretation, Evaluation is in a different Paper|full|none|no
2019|Matthias Lohr, Thomas Kühn|Pigazzini2019a|Architecture Analysis Method||Case Study||none referenced|property-in-relation|Precision||# Cyclic Dependencies|||available|available|no|none|none referenced||full|none|yes
2019|Matthias Lohr, Thomas Kühn|Pigazzini2019a|Architecture Analysis Method||Case Study||none referenced|property-in-relation|Precision||# Unstable Dependencies|||available|available|no|none|none referenced||full|none|yes
2019|Matthias Lohr, Thomas Kühn|Pigazzini2019a|Architecture Analysis Method||Case Study||none referenced|property-in-relation|Precision||# Hub-like Dependencies|||available|available|no|none|none referenced||full|none|yes
2019|Matthias Lohr, Thomas Kühn|Pigazzini2019a|Architecture Analysis Method||Case Study||none referenced|property-in-relation|Precision||# Feature Concentration|||available|available|no|none|none referenced||full|none|yes
2019|Matthias Lohr, Thomas Kühn|Pigazzini2019a|Architecture Analysis Method||Case Study||none referenced|property-in-relation|Precision||Recall|Number of classes correctly assigned to layer||available|available|no|none|none referenced||full|none|yes
2019|Matthias Lohr, Thomas Kühn|Pigazzini2019a|Architecture Evolution||Argumentation||none referenced|property-as-such|Applicability|||||available|available|no|none|none referenced||full|none|yes
2018|Katharina Großer, Timur Sağlam, Marco Konersmann|Power2018|Architecture Design Method|The findings suggest recommendations for organizations to improve how they make and manage architecture decisions|Questionnaire|Stated by the authors|none referenced|property-as-such|Applicability|Stated by the authors, approaches used|none|only collecting and counting the answers, no specific metric for result interpretation|What are some examples of decision-making approaches used by architects, and how those decisions are made?|none|used|no|external validity, construct validity, reliability, repeatability, internal validity|none referenced||full|Construct Validity, Internal Validity, External Validity, Reliability, Repeatability|yes
2018|Katharina Großer, Timur Sağlam, Marco Konersmann|Power2018|Architecture Design Method|The findings suggest recommendations for organizations to improve how they make and manage architecture decisions|Questionnaire|Stated by the authors|none referenced|property-as-such|Feasibility|Stated by the authors, challenges|none|only collecting and counting the answers, no specific metric for result interpretation|What challenges do architects encounter associated with the current architecture decision-making approaches?|none|used|no|external validity, construct validity, reliability, repeatability, internal validity|none referenced||full|Construct Validity, Internal Validity, External Validity, Reliability, Repeatability|yes
2018|Katharina Großer, Timur Sağlam, Marco Konersmann|Power2018|Architecture Design Method|The findings suggest recommendations for organizations to improve how they make and manage architecture decisions|Questionnaire|Stated by the authors|none referenced|property-as-such|Completeness|Stated by the authors, context factors|none|only collecting and counting the answers, no specific metric for result interpretation|How does the context influence decisions made by architects?|none|used|no|external validity, construct validity, reliability, repeatability, internal validity|none referenced||full|Construct Validity, Internal Validity, External Validity, Reliability, Repeatability|yes
2018|Katharina Großer, Timur Sağlam, Marco Konersmann|Power2018|Architecture Design Method|The findings suggest recommendations for organizations to improve how they make and manage architecture decisions|Questionnaire|Stated by the authors|none referenced|property-as-such|Usefulness|Stated by the authors, impact|none|only collecting and counting the answers, no specific metric for result interpretation|How do decisions made by architects impact other people?|none|used|no|external validity, construct validity, reliability, repeatability, internal validity|none referenced||full|Construct Validity, Internal Validity, External Validity, Reliability, Repeatability|yes
2018|Katharina Großer, Timur Sağlam, Marco Konersmann|Power2018|Architecture Design Method|The findings suggest recommendations for organizations to improve how they make and manage architecture decisions|Focus Group|Stated by the authors|yin2015qualitative |property-as-such|Applicability|Stated by the authors, approaches used|none|only collecting and counting the answers, no specific metric for result interpretation|What are some examples of decision-making approaches used by architects, and how those decisions are made?|none|used|no|external validity, construct validity, reliability, repeatability, internal validity|none referenced||full|Construct Validity, Internal Validity, External Validity, Reliability, Repeatability|yes
2018|Katharina Großer, Timur Sağlam, Marco Konersmann|Power2018|Architecture Design Method|The findings suggest recommendations for organizations to improve how they make and manage architecture decisions|Focus Group|Stated by the authors|yin2015qualitative |property-as-such|Feasibility|Stated by the authors, challenges|none|only collecting and counting the answers, no specific metric for result interpretation|What challenges do architects encounter associated with the current architecture decision-making approaches?|none|used|no|external validity, construct validity, reliability, repeatability, internal validity|none referenced||full|Construct Validity, Internal Validity, External Validity, Reliability, Repeatability|yes
2018|Katharina Großer, Timur Sağlam, Marco Konersmann|Power2018|Architecture Design Method|The findings suggest recommendations for organizations to improve how they make and manage architecture decisions|Focus Group|Stated by the authors|yin2015qualitative |property-as-such|Completeness|Stated by the authors, context factors|none|only collecting and counting the answers, no specific metric for result interpretation|How does the context influence decisions made by architects?|none|used|no|external validity, construct validity, reliability, repeatability, internal validity|none referenced||full|Construct Validity, Internal Validity, External Validity, Reliability, Repeatability|yes
2018|Katharina Großer, Timur Sağlam, Marco Konersmann|Power2018|Architecture Design Method|The findings suggest recommendations for organizations to improve how they make and manage architecture decisions|Focus Group|Stated by the authors|yin2015qualitative |property-as-such|Usefulness|Stated by the authors, impact|none|only collecting and counting the answers, no specific metric for result interpretation|How do decisions made by architects impact other people?|none|used|no|external validity, construct validity, reliability, repeatability, internal validity|none referenced||full|Construct Validity, Internal Validity, External Validity, Reliability, Repeatability|yes
2019|Sebastian Hahner,Thomas Kühn|Power2019|Architecture Design Method|Discuss applicability of NDM in architectural design|Questionnaire|Stated by the authors|none referenced|property-in-relation|Feasibility|No clear properties or metrics identified, subject to discuss|purely qualitative|No clear properties or metrics identified, subject to discuss|How does NDM apply to Software Architecture decision-making?|none|used|no|external, internal, construct, reliability, bias|none referenced|only qualitative evaluation|full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2019|Sebastian Hahner,Thomas Kühn|Power2019|Architecture Design Method|Discuss applicability of NDM in architectural design|Questionnaire|Stated by the authors|none referenced|property-in-relation|Feasibility|No clear properties or metrics identified, subject to discuss|purely qualitative|No clear properties or metrics identified, subject to discuss|What are the conditions under which decisions are suited to an NDM approach in software architecture?|none|used|no|external, internal, construct, reliability, bias|none referenced|only qualitative evaluation|full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2019|Sebastian Hahner,Thomas Kühn|Power2019|Architecture Design Method|Discuss applicability of NDM in architectural design|Questionnaire|Stated by the authors|none referenced|property-in-relation|Feasibility|No clear properties or metrics identified, subject to discuss|purely qualitative|No clear properties or metrics identified, subject to discuss|What are the conditions under which decisions are not suited to an NDM approach in software architecture?|none|used|no|external, internal, construct, reliability, bias|none referenced|only qualitative evaluation|full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2019|Timur Sağlam, Sebastian Hahner|Sanctis2019|Architecture Design Method|The focus of this paper is on modelling and analysing QoS-related characteristics in IoT architectures, they propose an approach that provides the automated formation of the most suitable EAs by means of a QoSbased optimisation problem.|Case Study|stated by authors|none referenced|property-in-relation |Effectiveness|They show QoS-based savings, meaning how effective their approach is|Power consumption|stated by the authors|We are interested to evaluate the QoS-based characteristics while selecting things (i.e., sensors and actuators). |none|none|no|Internal Validity, External Validity|none referenced||full|Internal Validity, Generalizability|no
2019|Timur Sağlam, Sebastian Hahner|Sanctis2019|Architecture Design Method|The focus of this paper is on modelling and analysing QoS-related characteristics in IoT architectures, they propose an approach that provides the automated formation of the most suitable EAs by means of a QoSbased optimisation problem.|Case Study|stated by authors|none referenced|property-in-relation |Effectiveness|They show QoS-based savings, meaning how effective their approach is|accuracy|stated by the authors (sensing accuracy)|We are interested to evaluate the QoS-based characteristics while selecting things (i.e., sensors and actuators). |none|none|no|Internal Bias, Applicability to other case studies|none referenced||full|Internal Validity, Generalizability|no
2019|Timur Sağlam, Sebastian Hahner|Sanctis2019|Architecture Design Method|The focus of this paper is on modelling and analysing QoS-related characteristics in IoT architectures, they propose an approach that provides the automated formation of the most suitable EAs by means of a QoSbased optimisation problem.|Case Study|stated by authors|none referenced|property-in-relation |Effectiveness|They show QoS-based savings, meaning how effective their approach is|Execution time|stated by the authors|We are interested to evaluate the QoS-based characteristics while selecting things (i.e., sensors and actuators). |none|none|no|Internal Bias, Applicability to other case studies|none referenced||full|Internal Validity, Generalizability|no
2019|Timur Sağlam, Sebastian Hahner|Sanctis2019|Architecture Design Method|The focus of this paper is on modelling and analysing QoS-related characteristics in IoT architectures, they propose an approach that provides the automated formation of the most suitable EAs by means of a QoSbased optimisation problem.|Case Study|stated by authors|none referenced|property-in-relation |Scalability|the scalability since Experiment 3 indicates that in the worst case the application of the approach takes 2.14 s, and 190 M.|Execution Time |stated by the authors|How well does the approach scale? |none|none|no|Internal Bias, Applicability to other case studies|none referenced||full|Internal Validity, Generalizability|no
2020|Marco Ehl, Sophie Schulz|Sanctis2020|Reference Architecture||Experiment ||none referenced|property-as-such|Performance||execution time||none|used|available|no|selection bias|none referenced|no assignment of rq to eval, one input data is not available|full|Selection Bias|no
2020|Marco Ehl, Sophie Schulz|Sanctis2020|Reference Architecture||Experiment ||none referenced|property-as-such|Adaptability||execution time||none|used|available|no|selection bias|none referenced||full|Selection Bias|no
2016|Jan Keim, Mahmood Al-Doori|Schmerl2016|Architecture Description||Motivating Example||none referenced|property-in-relation|Usability||Argumentation|||used|used|no|none|none referenced|Not an ADL, but a style and how to create Architecture Description (in Acme) for Android|full|none|no
2016|Jan Keim, Mahmood Al-Doori|Schmerl2016|Architecture Description||Benchmark||none referenced|property-in-relation|Performance||execution time|||used|used|no|none|none referenced|Not an ADL, but a style and how to create Architecture Description (in Acme) for Android|full|none|no
2018|Mahmood Al-Doori, Dominik Fuchss|Schneider2018|Architecture Evolution||Case Study||10.1145.2188286.2188319|property-as-such|Feasibility|As stated by the authors|argumentive|As stated by the authors|What new insights can be gained through theadditional use of informal knowledge in a decision support process?|available|none|no|none|none referenced||full|none|no
2018|Mahmood Al-Doori, Dominik Fuchss|Schneider2018|Architecture Evolution||Case Study||10.1145.2188286.2188319|property-as-such|Feasibility|As stated by the authors|none|As stated by the authors|Are themodeling elements sufficient to enrich real world systems with common knowledgefrom the domain of information systems?|available|none|no|none|none referenced||full|none|no
2016|Sophie Schulz, Matthias Lohr|Schriek2016|Architecture Optimization Method||User Study||none referenced|property-in-relation|Effectiveness||time||none|none|none|no|selection bias|Cohen1968||full|Selection Bias|no
2016|Sophie Schulz, Matthias Lohr|Schriek2016|Architecture Optimization Method||User Study||none referenced|property-in-relation|Effectiveness||frequency||none|none|none|no|selection bias|Cohen1968||full|Selection Bias|no
2016|Sophie Schulz, Matthias Lohr|Schriek2016|Architecture Optimization Method||User Study||none referenced|property-in-relation|Effectiveness||no. of elements||none|none|none|no|selection bias|Cohen1968||full|Selection Bias|no
2016|Sophie Schulz, Matthias Lohr|Schriek2016|Architecture Optimization Method||User Study||none referenced|property-in-relation|Effectiveness||time||none|none|none|no|reliability|Cohen1968||full|Reliability|no
2016|Sophie Schulz, Matthias Lohr|Schriek2016|Architecture Optimization Method||User Study||none referenced|property-in-relation|Effectiveness||frequency||none|none|none|no|reliability|Cohen1968||full|Reliability|no
2016|Sophie Schulz, Matthias Lohr|Schriek2016|Architecture Optimization Method||User Study||none referenced|property-in-relation|Effectiveness||no. of elements||none|none|none|no|reliability|Cohen1968||full|Reliability|no
2016|Jan-Philipp Töberg, Marco Ehl|Schroeder2016|Architecture Design Method|Analyzing the methods & challenges for Architecture Enforcement during the development process|Interview|Stated by the authors|1509301|property-in-relation|Feasibility|derived from research question to answer, Challenges|||What are the concerns which architects consider during the enforcement process?|none|available|yes|selection bias|Gasson2004||full|Selection Bias, Measurement Bias|no
2016|Jan-Philipp Töberg, Marco Ehl|Schroeder2016|Architecture Design Method|Analyzing the methods & challenges for Architecture Enforcement during the development process|Interview|Stated by the authors|1509301|property-in-relation|Applicability|derived from research question to answer, Approaches used |||What are the activities performed by the architects in order to enforce and validate those concerns?|none|available|yes|limited number of participants, influence of software domain on experts’ view|Gasson2004||full|Selection Bias, Measurement Bias|no
2017|Timur Sağlam, Marco Ehl|Sharaf2017|Architecture Design Method|The paper presents an architecture framework that automatically generates executable code from a SiA-CPS architecture description. (I hope I got this right, the paper is so full of language errors, it is kinda hard to get what they mean)|Case Study|stated by the authors|none referenced|property-as-such |Effectiveness|"Stated by the authors (\""Our simulation results show that by using CAPS modeling framework, CAPS code generation framework, and CupCarbon simulation for SiA-CPS, we can get the early evaluation for energy and data traffic savings while developing SiACPS.\"")"|data traffic, energy consumption, battery level|These metric seem to be the ones that a user wants to get when using their framework, therefore they seem to evaluate the property instance effectiveness|Can we get the early evaluation for energy and data traffic savings while developing SiACPS?|used|none|no|none|none referenced||full|none|no
2019|Dominik Fuchss, Timur Sağlam, Marco Konersmann|Soezer2019|Architectural Aspects|modularity clustering technique used for software architecture recovery.|Case Study|chapter 4. multiple cases Chromium, ITK, Bash, ..|none referenced|property-as-such|Accuracy|ch 5.1|MoJoFM|ch 4.4|How does the accuracy of MGMC compare to those of other SAR approaches when various types of dependencies are considered?|none|available|no|subject bias|none referenced||full|Subject Bias|no
2019|Dominik Fuchss, Timur Sağlam, Marco Konersmann|Soezer2019|Architectural Aspects||Case Study||none referenced|property-as-such|Accuracy|ch 5.1|normalized TurboMQ|ch 4.4|How does the accuracy of MGMC compare to those of other SAR approaches when various types of dependencies are considered?|none|available|no|subject bias|none referenced||full|Subject Bias|no
2019|Dominik Fuchss, Timur Sağlam, Marco Konersmann|Soezer2019|Architectural Aspects||Case Study||none referenced|property-as-such|Performance|ch 5.2|runtime|ch 5 |How does the runtime Performance of MGMC compare to those of other SAR approaches?|none|available|no|subject bias|none referenced||full|Subject Bias|no
2018|Matthias Lohr, Jan Keim|Spray2018|Reference Architecture|stated by the authors|Verification|stated by the authors|none referenced|property-as-such|Feasibility||Argumentation||What are the key system, sub-system and code-level practices that improve maintainability?|none|used|no|none|none referenced||full|none|no
2018|Matthias Lohr, Jan Keim|Spray2018|Reference Architecture|stated by the authors|Verification|stated by the authors|none referenced|property-as-such|Feasibility||Argumentation||How, and to what extent, can the practices identified in RQ1 be used to emerge a reference architecture?|none|used|no|none|none referenced||full|none|no
2018|Matthias Lohr, Jan Keim|Spray2018|Reference Architecture|stated by the authors|Case Study|stated by the authors|none referenced|property-in-relation|Feasibility||person-years||How can we evaluate the impact of the architecture proposed in RQ2 on maintainability?|none|used|no|none|none referenced|Reads at some ports more like an experience report based on one Case Study|full|none|no
2018|Thomas Kühn, Sophie Schulz|Tuma2018|Architecture Analysis Method||User Study||none referenced |property-in-relation|Precision||True Positive, False Positive, False Negative ||There is no statistically significant location shift between the average productivity of the two treatment groups.|available|none|yes|convenience sampling, measurment bias|none referenced||full|Selection Bias, Measurement Bias|no
2018|Thomas Kühn, Sophie Schulz|Tuma2018|Architecture Analysis Method||User Study||none referenced |property-in-relation|Precision||True Positive, False Positive, False Negative ||There is no statistically significant location shift between the average precision of the two treatment groups.|available|none|yes|convenience sampling, measurment bias|none referenced||full|Selection Bias, Measurement Bias|no
2018|Thomas Kühn, Sophie Schulz|Tuma2018|Architecture Analysis Method||User Study||none referenced |property-as-such|Productivity||time spent by the teams performing task||There is no statistically significant location shift between the average recall of the two treatment groups.|available|none|yes|convenience sampling, measurment bias|none referenced||full|Selection Bias, Measurement Bias|no
2020|Anne Koziolek, Thomas Kühn|Verdecchia2020|Architecture Evolution|This is the topic from the existing list hat fits best, but it seems to be too general (Anne)|By construction||glaser1967, glaser1978, stol2016|none|none||none||characterize ATD, find attributes of ATD, and develop an interpretation of ATD|none|none|no|Theory not final|none referenced|Interesting case: the model of architecture technical debt is derived from an Interview study using grounded theory. So no validation of an existing model. Maybe we can call this validation by construction? Research object could also be Architecture technical debt (a concept -> a model?). Maybe exclude because this is a meta-paper that does not priovide any contribution for software architects, but rather for software architecture researchers? UNCLEAR|full|Construct Validity|no
2020|Anne Koziolek, Thomas Kühn|Verdecchia2020|Technical Dept|This is what the authors describe as contribution or result|Grounded Theory|stated by the authors|glaser1967, glaser1978, stol2016|property-as-such|Technical Debt|a property of the theory, not of architectural debt in general or even quality evolution in general|none||characterize ATD, find attributes of ATD, and develop an interpretation of ATD|none|none|no|Theory not final|none referenced|UNCLEAR: Either use the above line or this line and the next three. |full|Construct Validity|no
2020|Anne Koziolek, Thomas Kühn|Verdecchia2020|Technical Dept|This is what the authors describe as contribution or result|Grounded Theory|stated by the authors|glaser1967, glaser1978, stol2016|property-as-such|Technical Debt|a property of the theory, not of architectural debt in general or even quality evolution in general|none||characterize ATD, find attributes of ATD, and develop an interpretation of ATD|none|none|no|Theory not final|none referenced|UNCLEAR: see above|full|Construct Validity|no
2020|Anne Koziolek, Thomas Kühn|Verdecchia2020|Technical Dept|This is what the authors describe as contribution or result|Grounded Theory|stated by the authors|glaser1967, glaser1978, stol2016|property-as-such|Technical Debt|a property of the theory, not of architectural debt in general or even quality evolution in general|none||characterize ATD, find attributes of ATD, and develop an interpretation of ATD|none|none|no|Theory not final|none referenced|UNCLEAR: see above|full|Construct Validity|no
